Name,num_imgs,Layers,Feat,Lr ,STD,n_sample,TIME TAKEN,PSNR
168,26,4,256,0.0001,0,16,220,18.560389
168,26,10,256,0.0005,0.14,64,1180,19.902786
168,26,10,256,0.0005,0.14,64,1179,19.902786
168,26,10,256,0.0005,0.14,64,1177,19.902786
168,26,10,256,0.0005,0.14,64,1178,19.902786
168,26,8,256,0.0005,0.14,64,1038,19.80736
168,26,6,256,0.0005,0,64,901,19.690151
168,26,6,256,0.0005,0,16,260,19.668877
168,26,6,256,0.0005,0,32,475,19.665146
168,26,8,256,0.0002,0,16,296,19.587454
168,26,8,256,0.0002,0.12,16,298,19.464418
168,26,8,256,0.0002,0.12,16,299,19.464418
168,26,8,256,0.0002,0.12,16,297,19.464418
168,26,6,128,0.0005,0.12,72,770,19.456789
168,26,6,128,0.0005,0.12,64,685,19.45071
168,26,6,128,0.0005,0.14,64,686,19.443663
167,26,4,64,0.0001,0.12,16,188,15.459193
167,26,4,64,0.0001,0.12,16,189,15.459193
167,26,4,64,0.0001,0.12,16,186,15.459193
167,26,4,64,0.0001,0.12,16,187,15.459193
167,26,6,128,0.0005,0,16,208,16.991201
167,26,6,128,0.0002,0,16,212,16.759069
167,26,6,128,0.0001,0.12,16,214,16.201187
167,26,4,128,0.0001,0.14,32,306,15.680703
167,26,4,128,0.0001,0.14,32,305,15.680703
167,26,4,128,0.0001,0.14,32,308,15.680703
167,26,4,128,0.0001,0.14,32,307,15.680703
167,26,8,64,0.0001,0.14,32,350,15.708023
167,26,8,64,0.0001,0.14,32,349,15.708023
167,26,8,64,0.0001,0.14,32,352,15.708023
167,26,8,64,0.0001,0.14,32,351,15.708023
167,26,6,128,0.0002,0.14,32,361,16.646326
167,26,6,128,0.0001,0.12,32,361,16.075975
167,26,6,128,0.0005,0.12,32,362,17.022469
167,26,8,128,0.0001,0.12,32,409,16.383009
167,26,8,128,0.0001,0.12,32,407,16.383009
167,26,8,128,0.0001,0.12,32,410,16.383009
167,26,8,128,0.0001,0.12,32,408,16.383009
167,26,10,256,0.0005,0.12,72,1312,17.767782
167,26,10,256,0.0005,0.12,72,1311,17.767782
167,26,10,256,0.0005,0.12,72,1310,17.767782
167,26,10,256,0.0005,0.12,72,1313,17.767782
167,26,10,256,0.0005,0.12,64,1170,17.763048
167,26,8,256,0.0005,0.14,64,1030,17.750715
167,26,8,256,0.0005,0.14,64,1029,17.750715
167,26,8,256,0.0005,0.14,64,1031,17.750715
167,26,10,128,0.0005,0.14,72,980,17.550116
167,26,10,256,0.0002,0.12,64,1172,17.43693
167,26,10,128,0.0005,0,64,873,17.398939
167,26,10,256,0.0002,0.12,72,1315,17.388388
167,26,6,128,0.0005,0,72,762,17.202354
167,26,6,128,0.0005,0.14,32,361,17.152031
167,26,6,128,0.0005,0,64,682,17.021955
166,26,4,64,0.0005,0.12,16,178,17.641691
166,26,6,64,0.0001,0.12,16,200,16.848909
166,26,6,64,0.0005,0.14,16,203,18.14127
166,26,6,128,0.0002,0.12,16,210,18.185877
166,26,6,128,0.0002,0,16,211,18.167803
166,26,6,128,0.0001,0.14,16,211,17.518414
166,26,6,128,0.0001,0,16,211,17.612289
166,26,10,128,0.0005,0.14,16,257,18.754953
166,26,4,128,0.0005,0.14,32,306,18.116732
166,26,6,128,0.0001,0.12,32,360,17.51552
166,26,10,256,0.0005,0.12,16,324,19.102762
166,26,10,256,0.0005,0.12,64,1169,19.08003
166,26,6,256,0.0005,0,64,892,18.987516
166,26,8,256,0.0005,0.12,64,1028,18.882856
166,26,6,256,0.0005,0,32,470,18.872841
166,26,4,256,0.0005,0,32,387,18.792221
166,26,6,128,0.0005,0.12,16,211,18.716581
166,26,6,128,0.0005,0.14,72,763,18.703913
166,26,6,128,0.0005,0.14,16,212,18.618954
166,26,6,128,0.0005,0,32,362,18.605942
164,25,4,64,0.0005,0.12,16,188,17.296392
164,25,6,128,0.0001,0,16,212,17.29833
164,25,6,128,0.0001,0.14,16,213,17.294344
164,25,6,128,0.0005,0.14,16,213,18.487078
164,25,6,128,0.0005,0,16,215,18.578518
164,25,8,64,0.0005,0.14,16,224,18.058729
164,25,10,128,0.0001,0,16,256,17.906565
164,25,4,64,0.0005,0,32,278,17.268116
164,25,6,128,0.0005,0,32,363,18.67732
