Name,num_imgs,Layers,Feat,Lr ,STD,n_sample,PSNR
288,26,10,256,0.0005,0.12,32,17.59396935
288,26,6,256,0.0005,0.14,32,17.31493187
288,26,4,64,0.0005,0.12,64,16.64935493
288,26,10,64,0.0005,0.12,16,17.10878754
288,26,8,128,0.0005,0,32,17.46456718
288,26,10,128,0.0005,0.14,72,17.34957695
288,26,6,256,0.0002,0.14,32,17.21090889
288,26,10,64,0.0001,0.14,16,16.95793343
288,26,6,128,0.0005,0,64,16.84191322
288,26,8,128,0.0002,0.12,16,17.20532417
288,26,6,128,0.0005,0,32,16.85905266
288,26,8,256,0.0005,0.12,16,17.314291
288,26,8,256,0.0005,0,16,17.29785347
288,26,10,128,0.0002,0.12,16,17.32880402
288,26,8,128,0.0005,0,64,17.45380402
288,26,10,256,0.0005,0.12,16,17.57789421
288,26,6,128,0.0005,0,16,16.9322052
288,26,10,256,0.0005,0.12,72,17.51135063
288,26,6,128,0.0005,0,72,16.88202858
288,26,10,256,0.0001,0.12,32,17.08248711
288,26,10,256,0.0005,0.12,64,17.41633415
288,26,10,256,0.0002,0.12,16,17.35884285
288,26,6,128,0.0005,0.12,64,16.8794632
288,26,6,128,0.0005,0.12,32,16.85683632
288,26,6,128,0.0005,0.12,16,16.95815277
288,26,10,256,0.0002,0.12,32,17.1977272
288,26,6,128,0.0005,0.12,72,16.86657715
288,26,6,128,0.0005,0.14,64,16.85000038
288,26,6,128,0.0005,0.14,32,16.8677597
288,26,6,128,0.0005,0.14,16,16.95918465
288,26,6,128,0.0005,0.14,72,16.87346077
288,26,6,128,0.0001,0,64,16.71411896
288,26,6,128,0.0001,0,32,16.71181488
288,26,6,128,0.0001,0,16,16.70601273
288,26,6,128,0.0001,0,72,16.71239471
288,26,6,128,0.0001,0.12,64,16.7124939
288,26,6,128,0.0001,0.12,32,16.70990562
288,26,6,128,0.0001,0.12,16,16.70441246
329,26,4,64,0.0001,0.14,72,14.93218231
329,26,6,128,0.0002,0.14,32,15.59664631
329,26,6,256,0.0005,0.12,32,15.82285309
329,26,6,128,0.0005,0,16,15.73959827
